EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0097 
   2o - 0098 
   3o - 0096 
   4o - 0095 
   5o - 0099 
   6o - 0093 
   7o - 0094 
   8o - 0090 
   9o - 0091 
  10o - 0085 
  11o - 0089 
  12o - 0086 
  13o - 0088 
  14o - 0092 
  15o - 0087 
  16o - 0083 
  17o - 0080 
  18o - 0082 
  19o - 0081 
  20o - 0077 
  21o - 0076 
  22o - 0078 
  23o - 0075 
  24o - 0084 
  25o - 0079 
  26o - 0072 
  27o - 0070 
  28o - 0065 
  29o - 0074 
  30o - 0067 
  31o - 0073 
  32o - 0069 
  33o - 0068 
  34o - 0071 
  35o - 0066 
  36o - 0060 
  37o - 0062 
  38o - 0059 
  39o - 0064 
  40o - 0057 
  41o - 0063 
  42o - 0056 
  43o - 0040 
  44o - 0053 
  45o - 0061 
  46o - 0058 
  47o - 0054 
  48o - 0039 
  49o - 0048 
  50o - 0051 
  51o - 0041 
  52o - 0046 
  53o - 0050 
  54o - 0055 
  55o - 0052 
  56o - 0043 
  57o - 0049 
  58o - 0045 
  59o - 0042 
  60o - 0038 
  61o - 0034 
  62o - 0036 
  63o - 0037 
  64o - 0047 
  65o - 0035 
  66o - 0044 
  67o - 0032 
  68o - 0031 
  69o - 0029 
  70o - 0030 
  71o - 0022 
  72o - 0026 
  73o - 0024 
  74o - 0027 
  75o - 0021 
  76o - 0028 
  77o - 0023 
  78o - 0020 
  79o - 0033 
  80o - 0017 
  81o - 0009 
  82o - 0025 
  83o - 0008 
  84o - 0013 
  85o - 0019 
  86o - 0011 
  87o - 0005 
  88o - 0016 
  89o - 0018 
  90o - 0014 
  91o - 0012 
  92o - 0001 
  93o - 0007 
  94o - 0006 
  95o - 0002 
  96o - 0015 
  97o - 0000 
  98o - 0010 
  99o - 0003 
 100o - 0004 


Ranking - Rodada 2:
   1o - 0095 
   2o - 0096 
   3o - 0099 
   4o - 0098 
   5o - 0091 
   6o - 0094 
   7o - 0093 
   8o - 0090 
   9o - 0085 
  10o - 0089 
  11o - 0087 
  12o - 0086 
  13o - 0080 
  14o - 0082 
  15o - 0083 
  16o - 0084 
  17o - 0076 
  18o - 0075 
  19o - 0079 
  20o - 0077 
  21o - 0078 
  22o - 0070 
  23o - 0068 
  24o - 0074 
  25o - 0069 
  26o - 0073 
  27o - 0067 
  28o - 0062 
  29o - 0060 
  30o - 0057 
  31o - 0040 
  32o - 0063 
  33o - 0059 
  34o - 0064 
  35o - 0058 
  36o - 0054 
  37o - 0053 
  38o - 0048 
  39o - 0039 
  40o - 0051 
  41o - 0055 
  42o - 0052 
  43o - 0050 
  44o - 0049 
  45o - 0043 
  46o - 0038 
  47o - 0045 
