EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0031 
   2o - 0082 
   3o - 0032 
   4o - 0084 
   5o - 0034 
   6o - 0080 
   7o - 0076 
   8o - 0035 
   9o - 0070 
  10o - 0054 
  11o - 0059 
  12o - 0075 
  13o - 0057 
  14o - 0066 
  15o - 0065 
  16o - 0038 
  17o - 0046 
  18o - 0050 
  19o - 0053 
  20o - 0040 
  21o - 0043 
  22o - 0047 
  23o - 0026 
  24o - 0025 
  25o - 0030 
  26o - 0023 
  27o - 0078 
  28o - 0033 
  29o - 0024 
  30o - 0041 
  31o - 0079 
  32o - 0048 
  33o - 0049 
  34o - 0042 
  35o - 0063 
  36o - 0039 
  37o - 0072 
  38o - 0005 
  39o - 0008 
  40o - 0010 
  41o - 0073 
  42o - 0022 
  43o - 0029 
  44o - 0074 
  45o - 0028 
  46o - 0077 
  47o - 0061 
  48o - 0027 
  49o - 0013 
  50o - 0086 
  51o - 0064 
  52o - 0052 
  53o - 0062 
  54o - 0067 
  55o - 0085 
  56o - 0037 
  57o - 0068 
  58o - 0020 
  59o - 0083 
  60o - 0069 
  61o - 0036 
  62o - 0081 
  63o - 0019 
  64o - 0094 
  65o - 0056 
  66o - 0051 
  67o - 0071 
  68o - 0058 
  69o - 0092 
  70o - 0044 
  71o - 0045 
  72o - 0096 
  73o - 0014 
  74o - 0097 
  75o - 0055 
  76o - 0018 
  77o - 0089 
  78o - 0099 
  79o - 0095 
  80o - 0060 
  81o - 0016 
  82o - 0098 
  83o - 0088 
  84o - 0021 
  85o - 0093 
  86o - 0009 
  87o - 0090 
  88o - 0087 
  89o - 0012 
  90o - 0007 
  91o - 0017 
  92o - 0091 
  93o - 0006 
  94o - 0004 
  95o - 0011 
  96o - 0015 
  97o - 0003 
  98o - 0000 
  99o - 0002 
 100o - 0001 


Ranking - Rodada 2:
   1o - 0082 
   2o - 0032 
   3o - 0035 
   4o - 0057 
   5o - 0066 
   6o - 0065 
   7o - 0075 
   8o - 0059 
   9o - 0038 
  10o - 0046 
  11o - 0050 
  12o - 0053 
  13o - 0030 
  14o - 0043 
  15o - 0025 
  16o - 0040 
  17o - 0078 
  18o - 0023 
  19o - 0079 
  20o - 0041 
  21o - 0042 
  22o - 0033 
  23o - 0049 
  24o - 0072 
  25o - 0039 
  26o - 0073 
  27o - 0010 
  28o - 0008 
  29o - 0074 
  30o - 0077 
  31o - 0028 
  32o - 0022 
  33o - 0029 
  34o - 0061 
  35o - 0013 
  36o - 0027 
  37o - 0064 
  38o - 0037 
  39o - 0052 
  40o - 0083 
  41o - 0069 
  42o - 0068 
  43o - 0020 
  44o - 0056 
  45o - 0094 
  46o - 0081 
  47o - 0019 
