EP2 - Ciclistas!

Ranking - Rodada 1:
   1o - 0083 
   2o - 0095 
   3o - 0096 
   4o - 0087 
   5o - 0082 
   6o - 0086 
   7o - 0084 
   8o - 0098 
   9o - 0099 
  10o - 0091 
  11o - 0092 
  12o - 0090 
  13o - 0093 
  14o - 0094 
  15o - 0088 
  16o - 0081 
  17o - 0089 
  18o - 0097 
  19o - 0070 
  20o - 0073 
  21o - 0076 
  22o - 0085 
  23o - 0080 
  24o - 0077 
  25o - 0078 
  26o - 0079 
  27o - 0075 
  28o - 0071 
  29o - 0065 
  30o - 0072 
  31o - 0074 
  32o - 0067 
  33o - 0069 
  34o - 0060 
  35o - 0062 
  36o - 0066 
  37o - 0068 
  38o - 0027 
  39o - 0058 
  40o - 0057 
  41o - 0063 
  42o - 0064 
  43o - 0059 
  44o - 0044 
  45o - 0028 
  46o - 0034 
  47o - 0026 
  48o - 0025 
  49o - 0045 
  50o - 0040 
  51o - 0041 
  52o - 0036 
  53o - 0061 
  54o - 0053 
  55o - 0055 
  56o - 0052 
  57o - 0051 
  58o - 0043 
  59o - 0048 
  60o - 0049 
  61o - 0046 
  62o - 0056 
  63o - 0050 
  64o - 0054 
  65o - 0047 
  66o - 0031 
  67o - 0035 
  68o - 0039 
  69o - 0037 
  70o - 0029 
  71o - 0030 
  72o - 0032 
  73o - 0038 
  74o - 0021 
  75o - 0017 
  76o - 0042 
  77o - 0016 
  78o - 0024 
  79o - 0033 
  80o - 0020 
  81o - 0011 
  82o - 0010 
  83o - 0013 
  84o - 0023 
  85o - 0018 
  86o - 0007 
  87o - 0009 
  88o - 0019 
  89o - 0005 
  90o - 0008 
  91o - 0004 
  92o - 0002 
  93o - 0012 
  94o - 0000 
  95o - 0001 
  96o - 0015 
  97o - 0003 
  98o - 0014 
  99o - 0022 
 100o - 0006 


Ranking - Rodada 2:
   1o - 0082 
   2o - 0083 
   3o - 0087 
   4o - 0098 
   5o - 0099 
   6o - 0090 
   7o - 0091 
   8o - 0092 
   9o - 0081 
  10o - 0089 
  11o - 0094 
  12o - 0088 
  13o - 0070 
  14o - 0073 
  15o - 0085 
  16o - 0080 
  17o - 0079 
  18o - 0078 
  19o - 0077 
  20o - 0074 
  21o - 0071 
  22o - 0072 
  23o - 0065 
  24o - 0067 
  25o - 0060 
  26o - 0066 
  27o - 0068 
  28o - 0062 
  29o - 0069 
  30o - 0058 
  31o - 0027 
  32o - 0064 
  33o - 0034 
  34o - 0028 
  35o - 0059 
  36o - 0044 
  37o - 0026 
  38o - 0045 
  39o - 0041 
  40o - 0040 
  41o - 0036 
  42o - 0061 
  43o - 0055 
  44o - 0048 
  45o - 0052 
  46o - 0046 
  47o - 0051 
